experiment_name,john,gp,ensnn,nn,mcdnn,bnn
toy,24.144+-0.243,0.000+-0.000,100.667+-1.564,19.768+-0.532,12.251+-0.151,15.902+-0.188
toy_shifted,24.122+-0.062,0.000+-0.000,100.750+-1.118,19.787+-0.514,12.249+-0.136,14.723+-0.217
uci_boston,27.398+-7.523,22.094+-13.132,104.403+-1.388,20.800+-0.561,13.143+-0.105,18.472+-6.955
uci_boston_shifted,26.327+-0.808,3.529+-1.348,103.961+-2.462,20.412+-0.438,12.940+-0.112,14.817+-0.212
uci_boston_shifted_split,25.099+-0.259,0.000+-0.000,,,,
uci_carbon,33.190+-0.233,0.155+-0.368,3.046+-0.000,0.911+-0.000,8.154+-0.000,20.472+-0.000
uci_carbon_shifted,4.673+-0.287,0.092+-0.054,0.094+-0.030,0.090+-0.036,11.800+-0.071,0.732+-0.114
uci_carbon_shifted_split,30.594+-0.374,0.000+-0.000,,,,
uci_ccpp,31.126+-0.240,0.095+-0.058,99.537+-0.258,0.641+-0.000,11.707+-0.156,19.165+-0.184
uci_ccpp_shifted,26.522+-0.636,0.077+-0.038,100.134+-0.360,19.666+-0.528,11.946+-0.169,16.622+-0.215
uci_ccpp_shifted_split,28.764+-0.239,0.000+-0.000,,,,
uci_concrete,25.519+-0.094,7.894+-1.757,102.628+-0.274,20.100+-0.390,12.401+-0.161,16.463+-0.162
uci_concrete_shifted,26.591+-0.650,1.347+-0.096,106.235+-0.379,20.811+-0.495,13.102+-0.142,14.058+-0.160
uci_concrete_shifted_split,24.490+-0.209,0.000+-0.000,,,,
uci_energy,25.430+-0.143,0.074+-0.051,0.015+-0.001,0.014+-0.000,12.376+-0.104,0.658+-0.146
uci_energy_shifted,0.692+-0.034,0.048+-0.013,0.014+-0.000,0.016+-0.026,12.347+-0.132,0.654+-0.130
uci_energy_shifted_split,24.434+-0.211,0.000+-0.000,,,,
uci_kin8nm,32.554+-0.423,0.067+-0.011,98.679+-1.907,19.436+-0.420,11.721+-0.107,18.599+-0.340
uci_kin8nm_shifted,31.765+-0.684,0.077+-0.061,98.280+-1.327,19.300+-0.405,11.754+-0.116,18.281+-0.192
uci_kin8nm_shifted_split,30.273+-0.415,0.000+-0.000,,,,
uci_naval,31.976+-0.226,0.102+-0.042,0.131+-0.043,0.123+-0.043,11.836+-0.138,0.740+-0.120
uci_naval_shifted,4.053+-0.138,0.098+-0.041,0.124+-0.033,0.118+-0.035,11.798+-0.149,0.745+-0.125
uci_naval_shifted_split,28.928+-0.139,0.000+-0.000,,,,
uci_protein,91.591+-3.987,0.431+-0.085,,1.519+-0.000,,
uci_protein_shifted,,0.000+-0.000,,,,
uci_protein_shifted_split,75.448+-5.103,0.000+-0.000,,,,
uci_superconduct,71.066+-0.871,0.264+-0.060,98.257+-1.471,19.643+-0.527,11.861+-0.189,35.247+-0.342
uci_superconduct_shifted,27.652+-0.755,0.000+-0.000,103.858+-1.152,20.373+-0.386,12.953+-0.118,14.417+-0.143
uci_superconduct_shifted_split,63.089+-0.649,0.000+-0.000,,,,
uci_wine_red,25.528+-0.142,33.061+-34.792,100.748+-1.289,19.609+-0.473,12.108+-0.094,17.049+-0.226
uci_wine_red_shifted,26.757+-0.679,0.000+-0.000,103.242+-1.668,20.493+-0.545,12.932+-0.137,13.444+-1.308
uci_wine_red_shifted_split,24.776+-0.099,0.000+-0.000,,,,
uci_wine_white,28.307+-0.169,0.064+-0.110,98.878+-1.542,19.512+-0.458,11.823+-0.143,21.159+-0.258
uci_wine_white_shifted,0.051+-0.003,0.000+-0.000,103.125+-1.376,20.325+-0.443,12.941+-0.129,12.854+-0.283
uci_wine_white_shifted_split,26.767+-0.093,0.000+-0.000,,,,
uci_yacht,24.828+-0.157,0.857+-0.434,105.058+-1.063,20.501+-0.444,13.056+-0.138,16.243+-0.137
uci_yacht_shifted,25.651+-0.738,0.001+-0.002,104.236+-1.104,20.521+-0.538,13.000+-0.103,16.007+-0.242
uci_yacht_shifted_split,24.886+-0.102,0.000+-0.000,,,,
